#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-7.0,50,1574.071724
-5.0,50,1576.038558
-6.0,50,1578.15989
-6.0,50,1580.023263
-5.0,50,1582.047989
-6.0,50,1583.944841
-7.0,50,1586.013487
-5.0,50,1588.275376
-5.0,50,1590.196245
-6.0,50,1592.274164
-6.0,50,1594.204529
-5.0,50,1596.118345
-5.0,50,1598.01309
-6.0,50,1599.959806
-5.0,50,1601.908375
-5.0,50,1604.051906
-5.0,50,1606.037442
-6.0,50,1607.92574
-7.0,50,1609.875928
-5.0,50,1611.917401
-6.0,50,1613.839784
-6.0,50,1615.855189
-6.0,50,1617.973761
-6.0,50,1619.982313
-6.0,50,1621.938728
-5.0,50,1623.952741
-5.0,50,1626.008281
-6.0,50,1627.875838
-6.0,50,1629.818763
-5.0,50,1631.673103
-5.0,50,1633.536304
-6.0,50,1635.564981
-5.0,50,1637.527038
-7.0,50,1639.539004
-7.0,50,1641.617867
-5.0,50,1643.909271
-5.0,50,1645.776306
-6.0,50,1647.80572
-6.0,50,1649.721688
-5.0,50,1651.80082
-5.0,50,1653.818075
-5.0,50,1655.748693
-10.0,50,1657.755154
-5.0,50,1659.618002
-6.0,50,1661.607113
-5.0,50,1663.68517
-6.0,50,1665.621649
-18.0,50,1667.581588
-7.0,50,1669.708904
-8.0,50,1671.66594
-11.0,50,1673.735765
-6.0,50,1675.729404
-5.0,50,1677.718262
-5.0,50,1679.711832
-5.0,50,1681.797647
-7.0,50,1683.669286
-6.0,50,1685.872699
-5.0,50,1687.786061
-5.0,50,1689.955019
-6.0,50,1691.924258
-5.0,50,1693.929619
-5.0,50,1695.879385
-6.0,50,1697.830373
-5.0,50,1699.79387
-6.0,50,1701.767645
-5.0,50,1703.805629
-5.0,50,1705.789397
-6.0,50,1708.035942
-5.0,50,1710.081393
-5.0,50,1712.054084
-5.0,50,1713.977804
